OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT,RMS,DATA_SOURCE
STARLINK-32081,2024-136V,2025-10-07T19:30:41.999990,15.3021315,0.0001079,53.1582,65.5382,89.4036,195.0144,0,C,60348,280,1,-0.00072042,-0.00021375,0,0.429,SpaceX-E
STARLINK-32181,2024-136W,2025-10-07T19:26:41.999971,15.30184824,0.0001173,53.159,65.4463,88.8989,232.5833,0,C,60349,280,1,-0.00010895,-3.2315e-05,0,0.295,SpaceX-E
STARLINK-32076,2024-136X,2025-10-07T19:37:41.999981,15.30177765,0.0001002,53.1587,65.4456,78.8498,267.2924,0,C,60350,280,1,9.5141e-05,2.8219e-05,0,0.266,SpaceX-E
STARLINK-32097,2024-136Y,2025-10-07T19:29:42.000029,15.30189022,8.91e-05,53.1592,65.4014,84.9526,265.4493,0,C,60351,280,1,-0.00010715,-3.1784e-05,0,0.239,SpaceX-E
STARLINK-32285,2024-138A,2025-10-07T19:24:41.999962,15.30195194,0.0001318,53.1591,299.3892,83.7732,344.9876,0,C,60355,280,1,-0.00014284,-4.2382e-05,0,0.306,SpaceX-E
STARLINK-32278,2024-138B,2025-10-07T19:24:41.999962,15.30193839,0.0001386,53.1591,300.0564,86.1811,359.4187,0,C,60356,280,1,-7.7941e-05,-2.3125e-05,0,0.317,SpaceX-E
STARLINK-32287,2024-138D,2025-10-07T19:27:42.000019,15.30202465,0.0001335,53.1591,300.0246,84.8024,29.7136,0,C,60358,280,1,-0.0002911,-8.6378e-05,0,0.367,SpaceX-E
STARLINK-32290,2024-138E,2025-10-07T19:23:42.000000,15.30197118,0.0001337,53.1592,300.0596,88.3705,359.2083,0,C,60359,280,1,-0.00029248,-8.6773e-05,0,0.314,SpaceX-E
STARLINK-32275,2024-138F,2025-10-07T19:27:42.000019,15.302048,0.0001259,53.1577,299.7231,84.2212,181.5226,0,C,60360,280,1,-0.00043142,-0.00012801,0,0.335,SpaceX-E
STARLINK-32227,2024-138G,2025-10-07T19:29:42.000029,15.30192437,0.0001356,53.159,299.9593,90.9828,54.4685,0,C,60361,280,1,-2.3363e-05,-6.9321e-06,0,0.391,SpaceX-E
STARLINK-32256,2024-138H,2025-10-07T19:30:41.999990,15.30205978,0.0001314,53.159,300.014,89.2373,30.9543,0,C,60362,280,1,-0.00038417,-0.000114,0,0.378,SpaceX-E
STARLINK-32267,2024-138J,2025-10-07T19:25:42.000010,15.30200109,0.0001335,53.159,299.923,82.5655,76.6438,0,C,60363,280,1,-0.00015646,-4.6427e-05,0,0.416,SpaceX-E
STARLINK-32270,2024-138K,2025-10-07T19:22:42.000038,15.30205911,0.0001609,53.1583,299.8435,86.2347,108.03,0,C,60364,280,1,-0.00055231,-0.00016386,0,0.262,SpaceX-E
STARLINK-32188,2024-138L,2025-10-07T19:31:42.000038,15.30197497,0.0001351,53.1581,299.7438,89.4559,174.1674,0,C,60365,280,1,-0.00036858,-0.00010934,0,0.298,SpaceX-E
STARLINK-32230,2024-138M,2025-10-07T19:30:41.999990,15.3019292,0.0001313,53.1588,299.8865,90.3884,99.6059,0,C,60366,280,1,-0.00028104,-8.3369e-05,0,0.322,SpaceX-E
STARLINK-32243,2024-138N,2025-10-07T19:25:42.000010,15.30204525,0.0001309,53.1583,299.7837,85.3834,143.6338,0,C,60367,280,1,-0.00051321,-0.00015226,0,0.293,SpaceX-E
STARLINK-32271,2024-138P,2025-10-07T19:20:42.000029,15.3019329,0.0001446,53.1591,300.0219,84.2767,15.0886,0,C,60368,280,1,-7.265e-05,-2.1555e-05,0,0.342,SpaceX-E
STARLINK-32266,2024-138Q,2025-10-07T19:28:41.999981,15.30200866,0.000124,53.1578,287.1829,82.161,312.1779,0,C,60369,280,1,-0.00036668,-0.00010879,0,0.259,SpaceX-E
STARLINK-32220,2024-138R,2025-10-07T19:23:42.000000,15.30240395,0.000137,53.1585,299.8594,90.9271,95.3709,0,C,60370,280,1,-0.00012111,-3.5984e-05,0,0.712,SpaceX-E
STARLINK-32263,2024-138S,2025-10-07T19:29:42.000029,15.30204068,0.0001321,53.1589,299.4051,88.1838,342.2691,0,C,60371,280,1,-0.00046638,-0.00013837,0,0.363,SpaceX-E
